relation,description
P737,"this person, idea, etc. is informed by that other person, idea, etc., e.g. “Heidegger was influenced by Aristotle”  informed by has influence favorite player role model"
P740,location where a group or organization was formed  originates from comes from place of foundation founded in formation location source location of group/organisation formed in from place of formation place of incorporation
P190,"twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments  twin town sister town twin cities twin city partner city partner town sister city"
P576,"point in time at which the subject (organisation, building) ceased to exist;  see ""date of official closure"" (P3999) for closing a facility, ""service retirement"" (P730) for retiring equipment,  ""discontinued date"" (P2669) for stopping a product  defunct date dissolution date dissolved on date wound up on date date of dissolution date dissolved date disbanded date disestablished disestablished abolished abolishment date time dissolved time of dissolution time abolished time of abolishment ended disbanded on dissolved or abolished defunct dissolved, abolished, or demolished closed on closure date destroyed in folded final year end date disbanded demise date dissolved ceased to exist demolished final issue demolition date date of demolition ceased publication ceased date ceased on terminated on termination date date of cessation cessation date date of termination publication end date publication terminal date terminal date"
P749,"parent organization of an organization, opposite of subsidiaries (P355)  parent organisation owned by (company or organisation) holding holding company part of parent unit parent agency superior formation owned by (company or organization) subsidiary of parent company"
P112,"founder or co-founder of this organization, religion or place  co-founder founders established by co-founded by founder started by"
P118,league in which team or player plays or has played in  division sports league
P17,sovereign state of this item (not to be used for human beings)  sovereign state state land host country
P19,"most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character  birthplace born in POB birth place location born born at birth location location of birth birth city"
P3373,"the subject and the object have the same parents (brother, sister, etc.); use ""relative"" (P1038) for siblings-in-law (brother-in-law, sister-in-law, etc.) and step-siblings (step-brothers, step-sisters, etc.)  sister has sister bro has brother brother or sister sister or brother sis sib siblings sisters brother brothers and sisters sisters and brothers has sibling is sibling of is the sibling of brothers is brother of is the brother of is sister of is the sister of half-brother half-sister half-sibling"
P6,"head of the executive power of this town, city, municipality, state, country, or other governmental body  mayor prime minister premier first minister head of national government chancellor governor government headed by executive power headed by president"
P276,"location of the object, structure or event. In the case of an administrative entity as containing item use P131. For statistical entities use P8138. In the case of a geographic entity use P706. Use P7153 for locations associated with the object.  moveable object location located in event location venue is in location of item place held based in neighborhood region in located locality locale"
P1001,"the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)  of jurisdiction linked to jurisdiction belongs to jurisdiction jurisdiction country of jurisdiction valid in jurisdiction applies to territorial jurisdiction applied to jurisdiction applies to place applies to area applies to geographic place applies to geographic area applies to region applicable jurisdiction applicable geographic place applicable place applicable territorial jurisdiction applicable location applicable country applicable area"
P580,time an item begins to exist or a statement starts being valid  from starting began from time since from date building date starttime introduced introduction started in beginning join date join time start date joined
